0,1
"Ничто в такой степени не возбуждает умственную деятельность, не заставляет открывать новые стороны предметов и явлений, как сознательные симпатии или антипатии","Много людей прислало Алексею Навальному ссылку на один и тот же ролик с ремонтом огромного дома. Особняк площадью 2000 квадратных метров выглядит как типичный дом с Рублевки, но, как выяснил ФБК, находится в Черкесске и принадлежит клану Каитовых.  ➤Владельцем дома (его стоимость ФБК оценил в миллиард рублей) оказался 17-летний Ансар Каитов. Его старшему брату, 19-летнему Аслану, принадлежат земли вокруг дворца."
"Ничто так не обескураживает порока, как сознание, что он угадан и что по поводу его уже раздался смех. ","11 августа во время футбольного матча между «Ахматом» и «Спартаком» в Грозном судью Алексея Сухого оскорбили в микрофон — за то, что он удалил игрока «Ахмата». По окончании матча Сухого за руку схватил человек, похожий на председателя парламента Чечни Магомеда «Лорда» Даудова, и отвел его в подтрибунное помещение.  Даудов не имел права трогать арбитра, а также находиться в технической зоне, но в «Ахмате» считают, что все нормально: произошедшее назвали рукопожатием."
"Ничто так не обескураживает порока, как сознание, что он угадан и что по поводу его уже раздался смех. ","Абаничева обвиняют в том, что он бросил в сторону полицейских бумажный стакан. Девушка подошла с ним к двум полицейским. Те, засмущавшись, отошли, передает Евгений Фельдман."
"Ничто так не обескураживает порока, как сознание, что он угадан и что по поводу его уже раздался смех. ","Интервью «Дождя» с Павлом Грудининым:  — Как относитесь к «московскому делу»?  — Всех надо выпустить, они никого не били, ничего не грабили.  — Почему не было требований с трибуны, чтобы допустили всех на выборы?  — Меня в 2010 году тоже снимали по подписям, я судился. Сейчас протест другой, масштабный. И протестное голосование  поможет сделать выборы честными. Еще Че Гевара говорил: «Молчание — это тоже метод борьбы»."
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","То есть те, кто выходят на разгон протестных акций, сами часто страдают от нарушения их трудовых прав. Но их это, видимо, особо не парит."
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","Наблюдатель от СПЧ Николай Сванидзе на Страстном бульваре: «Всегда удобнее найти врага за рубежом. Всегда удобно говорить о людях, которые выходят защищать свои права, что это “не наши граждане”. Это удобно с 30-х годов прошлого века»"
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","В Свердловской области из-за ложного срабатывания защитной системы отключился энергоблок Белоярской АЭС. Радиационный фон в окрестностях станции в норме, утверждают в Росэнергоатоме"
"Ну, у нас, брат, не так. У нас бы не только яблоки съели, а и ветки-то бы все обломали!","""У Гостинного Двора в Санкт-Петербурге жестко задержали мужчину. Его задержали за то, что он подошел к полицейскому и спросил на каком основании стоит автобус. """"Вы хотите меня задержать за то, что я неправильно хожу, а себя не хотите задержать за то, что вы неправильно припарковали технику."""""
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","«Один из сотрудников полиции без маски схватил Роменского за одежду и с силой ударил его об борт служебного автобуса, сорвав с него наушники, с помощью которых последний выходил в эфир телеканала», — говорится в заявлении"
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","В объяснении полицейских, задержавших Дарью Сосновскую (у которой диагностировали закрытую черепно-мозговую травму и ушибы), говорится, что она кричала:  «Путин вор!», «Долой полицейскую власть!», «Ментам позор!»  "
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","Компания, которая арендует помещение под кафе в центре Москвы, потребовала 550 тысяч рублей от организаторов акции 27 июля из-за закрытия. Теперь исков к организаторам три, а общая сумма по ним — 13 миллионов рублей "
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","Активист Никита Томилов покинул Россию после того, как он попал в список гомофобного движения «Пила». По его словам, «целый ряд неслучайных событий за последнее время» убедили его, что оставаться в России небезопасно:"
"Один принимает у себя другого и думает: «С каким бы я наслаждением вышвырнул тебя, курицына сына, за окно, кабы…», — а другой сидит и тоже думает: «С каким бы я наслаждением плюнул тебе, гнусному пыжику, в лицо, кабы…» Представьте себе, что этого «кабы» не существует, — какой обмен мыслей вдруг произошел бы между собеседниками!","Наших сотрудников Алексея Яковлева, Полину Аркатову и сотрудника ФБК Артема Ионова полицейские и ОМОН уже четыре часа удерживают в офисе. Телефоны отнимают, но им удалось сообщить нам, что обыск подходит к концу. Про изъятие техники информации пока нет."
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.","Мэрия Москвы запретила реперу Фейсу, группам «Кровосток» и IC3PEAK выступать на митинге, который устраивают в эту субботу в Москве поддержку незарегистрированных кандидатов. Юрист объясняет, законно ли это."
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.","Французский скалолаз, известный как «Человек-паук», забрался на гонконгский небоскреб и разместил на нем флаг с символическим рукопожатием Китая и Гонконга. Так он призвал к миру и прекращению протестов"
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.",13 июля с космодрома Байконур стартовала ракета-носитель с астрофизической обсерваторией Спектр-РГ. С её помощью ученые планируют сделать «перепись населения» всей нашей Вселенной
"Просвещение внедрять с умеренностью, по возможности избегая кровопролития.","Власть позиционирует себя, как «единственного европейца». Как того, кому образованные люди должны быть обязаны, потому что он защищает их от дикого народа. А в это время Россия уже давно на 75% городская страна, 99% грамотны, больше половины населения имеет образование выше среднего, уровень насильственных преступлений снижается последние 15 лет. Кто кого и от кого стережет – малопонятно. Почему кто-то решил, что на первых же свободных выборах у нас выберут фашистов? Этому утверждению нет никаких рациональных обоснований. "
Российская власть должна держать свой народ в состоянии постоянного изумления.,"У одного врача, лечившего пострадавших при взрыве ракеты в Архангельской области, в организме обнаружили радиоактивный нуклид цезий-137"
Российская власть должна держать свой народ в состоянии постоянного изумления.,"После взрыва ракеты возле Северодвинска в городе зафиксировали превышение мощности гамма-излучения в 4-16 раз. Росгидромет утверждает, что причиной могло стать облако радиоактивных инертных газов, которое быстро рассеялось."
Российская власть должна держать свой народ в состоянии постоянного изумления.,"Илью Яшина задержали на выходе из спецприемника, где он отбывал административный арест"
Российская власть должна держать свой народ в состоянии постоянного изумления.,"""""""Да-да, «мы сдерживаем дикое море народного бунта». Это страшно популярный дискурс, это один из самых эффективных пропагандистских конструктов. Он эффективен, потому что его склонно разделять образованное сословие"
Российская власть должна держать свой народ в состоянии постоянного изумления.,"Глава Мосгоризбиркома считает, что Любовь Соболь «через соцсети давит на избирательные комиссии»."
Российская власть должна держать свой народ в состоянии постоянного изумления.,"Сечин снова попросил Путина о налоговых льготах для нефтяников, теперь на 2,6 триллиона рублей. Он утверждает, что это необходимо для того, чтобы нефтяные компании вложили от 5 до 8,5 триллиона рублей в проект по освоению Арктики "
Система очень проста: никогда ничего прямо не дозволять и никогда ничего прямо не запрещать. ,"— Точно сказать не могу, но в головном подразделении — Управлении по охране общественного порядка — есть целый отдел, который занимается массовыми мероприятиями. Как и кого они координируют — сказать не могу. Но лично для меня показательно, что когда я смотрю фото и видео с этих акций, я вижу, что с этого года стали выходить на улицы сотрудники в должностях, в которых [люди] раньше раздавали указания из кабинетов. Например, заместитель начальника полиции по охране общественного порядка ГУ МВД по Москве Николай Федорук. Даже во время Болотной подобные люди руководили всем из кабинетов. Сейчас они делают это лично. Это говорит о том, что к проблеме приковано очень серьезное внимание и ответственность очень большая."
Система очень проста: никогда ничего прямо не дозволять и никогда ничего прямо не запрещать. ,Юлию Галямину Мосгорсуд тоже не восстановил на выборах в Мосгордуму. Ни один из независимых кандидатов не смог добиться регистрации через суд — как и через ЦИК.
Система очень проста: никогда ничего прямо не дозволять и никогда ничего прямо не запрещать. ,"Член Совета Федерации от Иркутской области, основатель и бывший первый командир Бурятского ОМОНа Вячеслав Мархаев назвал действия полиции на акциях протеста в Москве «неправомерными и профессионально безграмотными»"
"Страшно, когда человек говорит и не знаешь, зачем он говорит, что говорит и кончит ли когда-нибудь.","Дата-отдел «Новой газеты» проанализировал 153 решения, вынесенных по делам участников акции протеста 27 июля.   Журналисты нашли 8 шаблонов, в которых повторялись данные о правонарушении. Дословные повторы были найдены в 64 решениях, вынесенных 15 судами."
"Страшно, когда человек говорит и не знаешь, зачем он говорит, что говорит и кончит ли когда-нибудь.","Среди кандидатов, которых «Единая Россия» выдвинула на дополнительных выборах в Госдуму по одномандатным округам, — певица Вика Цыганова. Она была доверенным лицом Владимира Путина в 2018 году, но ее собственные шансы победить в сентябре невысоки."
"Страшно, когда человек говорит и не знаешь, зачем он говорит, что говорит и кончит ли когда-нибудь.","The New York Times утверждает, что Россия помогла ультраправой партии «Шведские демократы» добиться рекордного успеха на парламентских выборах в 2018 году, подогревая антимигрантские настроения и раскручивая связанные с националистами сайты и группы в соцсетях."
"Страшно, когда человек говорит и не знаешь, зачем он говорит, что говорит и кончит ли когда-нибудь.","Пожаловалась на трудную жизнь в 2006 году в этой связи Маргарита Симоньян: 270 000 рублей (чуть больше 10000 долларов) и «двушка с вонючим подъездом» (простите, не дословно процитировали, двушка не сраная, а с вонючим подъездом). А затем, девочки, ипотечный ДОМИК. "
Строгость российских законов смягчается необязательностью их исполнения.,"По информации агентств, в результате пожара в воинской части в Архангельской области погиб один человек. РИА Новости пишет о двух погибших. Источник «Интерфакса» также заявил, что до 15 человек могли пострадать."
Строгость российских законов смягчается необязательностью их исполнения.,"Полиция разыскивает чиновника из Правительства Москвы – замначальника управления ЖКХ префектуры ЮЗАО Олега Федотова. Федотова подозревают в том, что он спровоцировал аварию с погибшими и ранеными, после чего бросил свою разбитую машину и сбежал с места."
Строгость российских законов смягчается необязательностью их исполнения.,"Реклама Azino777 оказалась популярнее даже PepsiСо, «Яндекс» или Google (не увидеть её было просто невозможно). Но, как и сколько удается зарабатывать онлайн-казино, несмотря на ежедневные блокировки в интернете? Разбираем историю успеха трех топоров"
Строгость российских законов смягчается необязательностью их исполнения.,"— Иностранцы массово едут лечиться в Россию, а наши больницы берут кредиты на выполнение майских указов — Рунет снова хотят изолировать. По новой схеме — за 20 миллиардов рублей из бюджета — А создатель онлайн-казино Azino 777 продолжает зарабатывать миллиарды вопреки блокировкам (как?)"
Строгость российских законов смягчается необязательностью их исполнения.,"Полиция приехала с проверкой на незаконную свалку, которая находится в 1,5 км от Жуковского. Именно здесь, возле озера Глушица, по утверждению сотрудников аэропорта, гнездятся чайки, ставшие причиной аварийной посадки А321 на кукурузном поле. "
Талант сам по себе бесцветен и приобретает окраску только в применении.,"В жалобе говорится, что Apple необоснованно урезала функционал новой версии приложения для родительского контроля «Kaspersky Safe Kids» и в то же время вывела на рынок собственное приложение с аналогичными функциями «Screen Time»."
Талант сам по себе бесцветен и приобретает окраску только в применении.,Мэрия Белгорода не согласовала пикеты в центре города в поддержку московского митинга 10 августа. Просто на том же месте уже решили провести митинг в поддержку Росгвардии. 
Талант сам по себе бесцветен и приобретает окраску только в применении.,"Люба Соболь обозвала Собчак лицемеркой, заявив, что та служила ширмой на президентских выборах, в ответ Собчак ударила по Навальному, обвинив его в работе на спецслужбы. Кэтфайт!"
Талант сам по себе бесцветен и приобретает окраску только в применении.,"Есть два стула, на обоих - Ксения Собчак"
Талант сам по себе бесцветен и приобретает окраску только в применении.,"Страна большая, выбирали разных людей, какие-то мэры были ранее судимые, но у нас их и сейчас достаточно. У нас и сенаторы сейчас есть ранее не судимые, но с большой перспективой обрести судимость в ближайшем будущем. "
Талант сам по себе бесцветен и приобретает окраску только в применении.,"«Я была всегда пухлой девочкой в школе, я — Санчо Панса, я не главная красавица. И я так долго была Санчо Пансой, что изучила всё, чтобы стать Дульсинеей»."
"У нас в России воруют все. И при этом, хохоча, приговаривают: Да когда же все это кончится?.. ",Baza обвинила службу безопасности «Роснефти» в прослушке сотрудников издания — из-за статьи про особняк Сечина
"У нас в России воруют все. И при этом, хохоча, приговаривают: Да когда же все это кончится?.. ","В Фонде борьбы с коррупцией обыски. В прошлые выходные выяснилось, что ФБК подозревают в отмывании миллиарда рублей. "
"У нас в России воруют все. И при этом, хохоча, приговаривают: Да когда же все это кончится?.. ","Как утверждается в тексте, Сергунина, будучи главой имущественного комплекса Москвы, продала мужу своей родной сестры Лазарю Сафаниеву (он же Аарон-Элизер Аронов) несколько исторических особняков, в которых впоследствии были открыты гостиницы. Недвижимость продавалась по заниженным ценам.  "
"У нас в России воруют все. И при этом, хохоча, приговаривают: Да когда же все это кончится?.. ","Как утверждается в тексте, Сергунина, будучи главой имущественного комплекса Москвы, продала мужу своей родной сестры Лазарю Сафаниеву (он же Аарон-Элизер Аронов) несколько исторических особняков, в которых впоследствии были открыты гостиницы. Недвижимость продавалась по заниженным ценам.  "
У нас намеднись дядя Софрон мимо кружки с керосином шел — и тот весь выпил!,"В Москве снова художественный терроризм. Полиция ищет хулигана, который перерисовал в галерее Шилова на Знаменке портрет художника Владимира Суздальцева"
У нас намеднись дядя Софрон мимо кружки с керосином шел — и тот весь выпил!,"Сергей Фомин, один из обвиняемых по делу о «массовых беспорядках» 27 июля, сдался полиции. Об этом сообщила «Медиазона». По их данным, после митинга Фомин уехал на несколько дней на отдых, но когда узнал, что на него возбуждено дело, и он объявлен в розыск – вернулся в Москву. "
"У нас нет середины: либо в рыло, либо ручку пожалуйте!","Павел Устинов служил в Росгвардии, сейчас он начинающий актер — например, играл роль американского солдата в сериале «Трейдер». 3 августа он приехал на Пушкинскую площадь, чтобы встретиться с другом (не для участия в акции протеста) — и стал обвиняемым по делу о применении насилия к представителю власти."
"У нас нет середины: либо в рыло, либо ручку пожалуйте!","«Бессмысленно воевать против молодежи. Это люди, которые придут и заменят вас рано или поздно. Зачем себе искать противников в этом поколении?»"
"У нас нет середины: либо в рыло, либо ручку пожалуйте!","""Официально название звучит просто блестяще: """"В поддержку действий сотрудников силовых ведомств в России при пресечении незаконных действий участников несанкционнированных публичных мероприятий"""".   Первый митинг, на котором применять дубинки можно даже протестующим."
"У нас нет середины: либо в рыло, либо ручку пожалуйте!",В Новосибирске подожгли общественную приемную «Единой России». В ночь на 29 июля неизвестный разбил окно и забросил в фойе бутылку с зажигательной смесью
"Увы! Не прошло еще четверти часа, а уже мне показалось, что теперь самое настоящее время пить водку.","Сайт «Недопускай.Москва», критикующий независимых кандидатов в Мосгордуму и митинги в их поддержку, связан с подрядчиком мэрии. Об этом сообщают «Открытые медиа»"
"Увы! Не прошло еще четверти часа, а уже мне показалось, что теперь самое настоящее время пить водку.","Последствия пожара на одном из объектов ВМФ около Северодвинска ликвидируют военные.   К месту ЧП не пускают МЧС — Министерство обороны отказалось от помощи и заявило, что все последствия устранят своими силами."
"Увы! Не прошло еще четверти часа, а уже мне показалось, что теперь самое настоящее время пить водку.","МВД, а вслед и прокремлевские медиа, настойчиво обращают внимание на то, что многие из участников акции за свободные выборы в Москве были приезжими. Объясняем по пунктам, почему это пропаганда. "
"Увы! Не прошло еще четверти часа, а уже мне показалось, что теперь самое настоящее время пить водку.","Соболь пыталась задать Симоньян вопрос о расследовании ФБК про Собянина - главред RT отказалась отвечать, а позже обвинила Соболь в преследовании и назвала ее действия «не лучшим методом ведения предвыборной кампании». "
"Цель издания законов двоякая: одни издаются для вящего народов и стран устроения, другие – для того чтобы законодатели не коснели в праздности.","«Кровосток» собирается выступить на акции протеста 10 августа, несмотря на требование мэрии: «Этот запрет мы считаем довольно странным. Если вам дышать запретят, вы послушаете?» — сказала менеджер группы Агата Мирзаева «Медузе»."
"Цель издания законов двоякая: одни издаются для вящего народов и стран устроения, другие – для того чтобы законодатели не коснели в праздности.","Протесты в Гонконге продолжаются уже больше двух месяцев. Демонстранты требуют отменить законопроект об экстрадиции, который позволит передавать Китаю обвиняемых в преступлениях. На этом фоне все активнее звучат разговоры, что к подавлению протестов может подключиться материковый Китай. "
"Цель издания законов двоякая: одни издаются для вящего народов и стран устроения, другие – для того чтобы законодатели не коснели в праздности.","С марта 2019 года российским военным запрещено пользоваться телефонами и выкладывать в соцсети свои фотографии со службы. Этот запрет ввели, чтобы расследователям было сложнее вычислить российских военных — которых таким образом находили и в Сирии, и на Украине. Теперь солдат активно судят за использование смартфонов и переписку с близкими. "
"Цель издания законов двоякая: одни издаются для вящего народов и стран устроения, другие – для того чтобы законодатели не коснели в праздности.","Сейчас я закончу выступать, а члены комиссии начнут рассказывать, как они не могут отступать от норм закона. Хочу напомнить вам, Элла Александровна, о Конституции.  В СССР тоже хвастались Конституцией, согласно которой вы на выборах сами ставили галочку за единственного кандидата в бюллетене. Но вы сидите здесь сейчас, так как в 1991 году гражданам надоело такое соблюдение Конституции."
"Цель издания законов двоякая: одни издаются для вящего народов и стран устроения, другие – для того чтобы законодатели не коснели в праздности.","Когда мы приносим подписи избирателей, то там проверяют каждую закорючку. Но когда вам МВД присылает ответ из базы, в котором не соблюдается ваша же форма (не указаны подробно ошибки), вы говорите, что госорган все делает правильно.  Вы говорите про закон. Но в законе не сказано, что почерковед МВД — царь и бог, по команде которого избирательные комиссии должны голосовать."
"Чего-то хотелось: не то конституции, не то севрюжины с хреном, не то кого-нибудь ободрать.","За ночь Фомин трижды пытался сдаться силовикам. Сначала он с адвокатом пришел в управление СК по Москве, но там им не открыли. Затем он звонил на горячую линию центрального аппарата СК и в полицию. Оперативники отказались за ним приезжать и предложили самостоятельно прийти в отдел. В итоге Фомин явился в ОВД «Замоскворечье», где его допросили и задержали."
"Чего-то хотелось: не то конституции, не то севрюжины с хреном, не то кого-нибудь ободрать.","Как изменилось протестное движение в России в 2019 году. Короткая версия 1. Поводом для политического протеста может стать все что угодно 2. Несогласованные акции проходят не только все чаще, но и становятся все более массовыми 3. У протестов — новые лидеры, и они менее уступчивы 4. На самих акциях протестующие справляются вообще без лидеров 5. Протестные акции стали тотальными  6. Протесты эффективны, но не любые "
"Чего-то хотелось: не то конституции, не то севрюжины с хреном, не то кого-нибудь ободрать.","Журналисты Елизавета Нестерова и Илья Азар запустили проект «Подельник». Через него можно пожертвовать средства на выплату штрафов, назначенных участникам акции 12 июня в поддержку Ивана Голунова."
"Чего-то хотелось: не то конституции, не то севрюжины с хреном, не то кого-нибудь ободрать.","«У меня нет желания занять место депутата Госдумы, вцепиться в него и сидеть на этих деньгах, на этом кресле и наслаждаться властью. Я хочу жить в нормальной стране» "
Человек без ума в скором времени делается игралищем страстей. ,"""Журналист Константин Эггерт сообщает: - Смотрел прямую трансляцию заседания комитета Совфеда по международным делам! Оказывается, демонстрантам платят всякие ЦРУ таким образом: """"Вы тут побунтуйте, а мы вам через ЕСПЧ дадим 10 тысяч евро. И люди ведутся! Они же хотят 10 тысяч евро!"""""""" (С) Сенат"
Человек без ума в скором времени делается игралищем страстей. ,"Полиция задержала активиста «Бессрочного протеста» во время пикета с требованием наказать полицейского, ударившего девушку на акции 10 августа"
Человеку со школы разрешается пошуметь во время перемен.,"По данным проекта «НЕТ ФЕМИЦИДУ», за первую половину этого года 593 женщины были убиты родственниками или друзьями. Рассказываем историю жительницы Ульяновска, чей случай ЕСПЧ признал дискриминацией. Ей присудили 25 тысяч евро компенсации: "
Человеку со школы разрешается пошуметь во время перемен.,"Молодому поколению в большей степени, чем старшему, свойственно чувство собственного достоинства. Часть, лучшая часть, укрепится во мнении валить из страны, что, собственно говоря, сейчас и  происходит»  "
"Что лучше - снисходительность без послабления, или же строгость, сопряженная с невзиранием? ","Минобороны сообщает, что взрыв произошел при испытании жидкостной реактивной двигательной установки. В военном ведомстве подчеркнули, что радиационная обстановка в районе нормальная и никакой угрозы нет."
"Это еще ничего, что в Европе за наш рубль дают один полтинник, — будет хуже, если за наш рубль станут давать в морду.","Парламентская ассамблея Совета Европы проголосовала за резолюцию, позволяющую российской делегации вернуться к работе в организации. На Украине в ответ пригрозили приостановить свое участие в ПАСЕ."
"Это еще ничего, что в Европе за наш рубль дают один полтинник, — будет хуже, если за наш рубль станут давать в морду.","ЕСПЧ признал, что содержание Алексея Навального под домашним арестом по уголовному делу Ив Роше было политически мотивированным лишением свободы, имело целью ограничение его свободы слова. Присудил 20К евро компенсации морального вреда."
"Это еще ничего, что в Европе за наш рубль дают один полтинник, — будет хуже, если за наш рубль станут давать в морду.",Европейский суд по правам человека принял к рассмотрению два коллективных иска против России от родственников погибших при катастрофе малайзийского «Боинга» под Донецком. Заявителями по искам выступили 380 человек.
"Это еще ничего, что в Европе за наш рубль дают один полтинник, — будет хуже, если за наш рубль станут давать в морду.",Участницу Pussy Riot Марию Алехину отказались выпустить из страны на гастроли в Лондон
"Это еще ничего, что в Европе за наш рубль дают один полтинник, — будет хуже, если за наш рубль станут давать в морду.","Американские сенаторы собираются ужесточить санкции против России. Российским банкам хотят запретить долларовые расчеты через корреспондентские счета в банках США, а американским инвесторам — покупать российские облигации. Как все это отразится на нас?"
"Это еще ничего, что в Европе за наш рубль дают один полтинник, — будет хуже, если за наш рубль станут давать в морду.","Страдающий миллиардер Дерипаска запустил в апреле в соцсетях хештег #SaveGAZ – таким образом он призвал спасти гибнущую от американских санкций компанию. Он, правда, забыл сказать, что санкции эти ещё не ввели, и дно так манит ГАЗ по совсем иным причинам.  Но спасать ГАЗ нам всё равно придётся, как и миллиарды Дерипаски. Дмитрию Медведеву уже предложили вложить в проекты ГАЗа на далёкой Кубе 100 миллионов евро"
"Это еще ничего, что в Европе за наш рубль дают один полтинник, — будет хуже, если за наш рубль станут давать в морду.","Американские сенаторы подготовили законопроект о санкциях против участников строительства газопровода «Северный поток-2». Они предлагают вводить как минимум пять видов санкций против иностранных компаний, которые предоставляют свои суда для укладки труб газопровода, а также занимаются страхованием судов "
